model,prompt,baseline_kl,baseline_wd,ft_kl,ft_wd,delta_kl_ft_minus_baseline,delta_wd_ft_minus_baseline,output_dir
Qwen2.5-0.5B,QA,0.7591749453773865,0.20825141707721812,0.5231526795488137,0.17685824472887013,-0.23602226582857277,-0.031393172348347986,outputs/colab_qlora4bit_qwen2.5-0.5b_cgss_QA_ce_20260508_211134
Qwen2.5-0.5B,BIO,1.126302854831402,0.22955660616549162,0.5197837795202549,0.1678160089856157,-0.6065190753111471,-0.06174059717987593,outputs/colab_qlora4bit_qwen2.5-0.5b_cgss_BIO_ce_20260508_212043
Qwen2.5-0.5B,PORTRAY,0.8398091959265562,0.22464558899116058,0.5327496217993589,0.174061690729398,-0.3070595741271973,-0.05058389826176257,outputs/colab_qlora4bit_qwen2.5-0.5b_cgss_PORTRAY_ce_20260508_212954
Qwen2.5-7B,QA,0.5023936204039133,0.1644785671494901,0.3231423446765313,0.1308750624087854,-0.17925127572738203,-0.0336035047407047,outputs/colab_qlora4bit_qwen2.5-7b_cgss_QA_ce_20260508_174751
Qwen2.5-7B,BIO,0.5107151661927883,0.1785537378504299,0.34894828859430094,0.13650128388096794,-0.1617668775984874,-0.04205245396946197,outputs/colab_qlora4bit_qwen2.5-7b_cgss_BIO_ce_20260508_204109
Qwen2.5-7B,PORTRAY,0.48455603558283583,0.16690786697973425,0.34059622184588356,0.1321786040565572,-0.14395981373695227,-0.034729262923177046,outputs/colab_qlora4bit_qwen2.5-7b_cgss_PORTRAY_ce_20260508_205234
