row_idx,kl_baseline,kl_ft,wd_baseline,wd_ft,loss_baseline,loss_ft,kl_delta_base_minus_ft,wd_delta_base_minus_ft,loss_delta_base_minus_ft
0,0.3421261310577392,0.5180251598358154,0.097282737493515,0.095946304500103,0.3421261310577392,0.5180251598358154,-0.17589902877807623,0.001336432993412004,-0.17589902877807623
1,0.3885145187377929,0.1024615764617919,0.088601529598236,0.0241788849234581,0.3885145187377929,0.1024615764617919,0.28605294227600103,0.0644226446747779,0.28605294227600103
2,0.2035316228866577,0.0623309612274169,0.1100195497274398,0.0507094040513038,0.2035316228866577,0.0623309612274169,0.14120066165924078,0.059310145676135996,0.14120066165924078
3,0.7755149602890015,0.1041946411132812,0.2643114328384399,0.0655779093503952,0.7755149602890015,0.1041946411132812,0.6713203191757202,0.19873352348804468,0.6713203191757202
4,0.3303297758102417,0.0807629823684692,0.0867769569158554,0.0412178225815296,0.3303297758102417,0.0807629823684692,0.24956679344177252,0.04555913433432579,0.24956679344177252
5,0.8805332183837891,0.3912639617919922,0.1405551731586456,0.0701525509357452,0.8805332183837891,0.3912639617919922,0.4892692565917969,0.0704026222229004,0.4892692565917969
6,0.437027096748352,0.6823800802230835,0.232874110341072,0.2717593312263489,0.437027096748352,0.6823800802230835,-0.2453529834747315,-0.03888522088527688,-0.2453529834747315
7,0.5435945987701416,0.3037503957748413,0.0956039950251579,0.1412915885448455,0.5435945987701416,0.3037503957748413,0.2398442029953003,-0.0456875935196876,0.2398442029953003
8,0.7126168012619019,0.2581026554107666,0.1083904802799224,0.0385278165340423,0.7126168012619019,0.2581026554107666,0.45451414585113525,0.0698626637458801,0.45451414585113525
9,0.3557455539703369,0.5313781499862671,0.174563854932785,0.230339378118515,0.3557455539703369,0.5313781499862671,-0.17563259601593018,-0.05577552318572998,-0.17563259601593018
10,0.2520556449890136,0.1202199459075927,0.0889003798365593,0.1125485301017761,0.2520556449890136,0.1202199459075927,0.1318356990814209,-0.0236481502652168,0.1318356990814209
11,0.4966130256652832,0.0954480171203613,0.2626722455024719,0.0286336205899715,0.4966130256652832,0.0954480171203613,0.4011650085449219,0.23403862491250044,0.4011650085449219
12,0.5616854429244995,0.0642725229263305,0.2379105985164642,0.0543720498681068,0.5616854429244995,0.0642725229263305,0.497412919998169,0.1835385486483574,0.497412919998169
13,0.6065452098846436,0.173213243484497,0.1474328190088272,0.0868717059493064,0.6065452098846436,0.173213243484497,0.4333319664001466,0.060561113059520805,0.4333319664001466
14,0.3437113761901855,0.204435110092163,0.1959573328495025,0.1537656635046005,0.3437113761901855,0.204435110092163,0.1392762660980225,0.04219166934490201,0.1392762660980225
15,0.1952564716339111,0.1446477174758911,0.0669048503041267,0.1116212159395217,0.1952564716339111,0.1446477174758911,0.05060875415801999,-0.04471636563539501,0.05060875415801999
16,0.8145565986633301,0.3356701135635376,0.3162794113159179,0.223319798707962,0.8145565986633301,0.3356701135635376,0.4788864850997925,0.0929596126079559,0.4788864850997925
17,0.268717885017395,0.1297580003738403,0.1098316386342048,0.0776362046599388,0.268717885017395,0.1297580003738403,0.13895988464355472,0.032195433974266,0.13895988464355472
18,2.014953851699829,1.4995605945587158,0.2348187416791916,0.1986170411109924,2.014953851699829,1.4995605945587158,0.5153932571411133,0.036201700568199185,0.5153932571411133
19,0.1311109066009521,0.4285125732421875,0.0989666357636451,0.2421092689037323,0.1311109066009521,0.4285125732421875,-0.2974016666412354,-0.14314263314008718,-0.2974016666412354
20,0.4691028594970703,0.8262410163879395,0.1071229204535484,0.1276578158140182,0.4691028594970703,0.8262410163879395,-0.35713815689086914,-0.02053489536046979,-0.35713815689086914
21,0.5038946866989136,0.1421278715133667,0.2254992723464965,0.0550595596432685,0.5038946866989136,0.1421278715133667,0.3617668151855469,0.170439712703228,0.3617668151855469
22,0.2147377729415893,0.6911263465881348,0.1830870658159256,0.30500128865242,0.2147377729415893,0.6911263465881348,-0.47638857364654547,-0.12191422283649439,-0.47638857364654547
23,0.7051646709442139,0.1414409875869751,0.1294848173856735,0.0292701460421085,0.7051646709442139,0.1414409875869751,0.5637236833572388,0.10021467134356499,0.5637236833572388
24,0.1164820194244384,0.1065888404846191,0.0593634359538555,0.097552016377449,0.1164820194244384,0.1065888404846191,0.009893178939819294,-0.03818858042359349,0.009893178939819294
25,0.6300252676010132,0.2308069467544555,0.2388041019439697,0.1219756081700325,0.6300252676010132,0.2308069467544555,0.3992183208465577,0.1168284937739372,0.3992183208465577
26,0.6072167158126831,0.1080158948898315,0.2676330208778381,0.1033418625593185,0.6072167158126831,0.1080158948898315,0.4992008209228516,0.1642911583185196,0.4992008209228516
27,0.514891505241394,0.1077220439910888,0.0932285785675048,0.0255786217749118,0.514891505241394,0.1077220439910888,0.40716946125030523,0.067649956792593,0.40716946125030523
28,0.273137629032135,0.1033266186714172,0.1690184921026229,0.0671076029539108,0.273137629032135,0.1033266186714172,0.16981101036071783,0.1019108891487121,0.16981101036071783
29,0.5761599540710449,0.2045015096664428,0.1126220226287841,0.051459364593029,0.5761599540710449,0.2045015096664428,0.37165844440460216,0.061162658035755095,0.37165844440460216
30,0.4107468128204345,0.184105634689331,0.140095368027687,0.0655331686139106,0.4107468128204345,0.184105634689331,0.22664117813110352,0.07456219941377638,0.22664117813110352
31,0.5257406234741211,0.0868090391159057,0.2691538631916046,0.035589262843132,0.5257406234741211,0.0868090391159057,0.4389315843582154,0.23356460034847262,0.4389315843582154
32,0.6328645944595337,0.3111544847488403,0.1367177665233612,0.0906887203454971,0.6328645944595337,0.3111544847488403,0.3217101097106934,0.0460290461778641,0.3217101097106934
33,0.4660656452178955,0.2162492275238037,0.1517332643270492,0.0826130583882331,0.4660656452178955,0.2162492275238037,0.2498164176940918,0.0691202059388161,0.2498164176940918
34,0.2214764356613159,0.4144954681396484,0.1664792001247406,0.2167920619249344,0.2214764356613159,0.4144954681396484,-0.1930190324783325,-0.05031286180019379,-0.1930190324783325
35,0.5108555555343628,0.2259389162063598,0.112938717007637,0.1147888898849487,0.5108555555343628,0.2259389162063598,0.284916639328003,-0.0018501728773117065,0.284916639328003
36,0.1948145627975464,0.6634916067123413,0.1740013062953949,0.2905307412147522,0.1948145627975464,0.6634916067123413,-0.4686770439147949,-0.1165294349193573,-0.4686770439147949
37,0.1878478527069091,0.1678870916366577,0.1263102442026138,0.1304249614477157,0.1878478527069091,0.1678870916366577,0.01996076107025141,-0.004114717245101901,0.01996076107025141
38,0.8073185682296753,0.089894413948059,0.1581686586141586,0.0323118008673191,0.8073185682296753,0.089894413948059,0.7174241542816163,0.1258568577468395,0.7174241542816163
39,0.1789143085479736,0.4384858608245849,0.0585790388286113,0.242341011762619,0.1789143085479736,0.4384858608245849,-0.25957155227661133,-0.1837619729340077,-0.25957155227661133
40,0.2980580329895019,0.1245732307434082,0.1737652271986007,0.1225006207823753,0.2980580329895019,0.1245732307434082,0.1734848022460937,0.05126460641622542,0.1734848022460937
41,0.6356065273284912,0.0799692869186401,0.2480413019657135,0.063666246831417,0.6356065273284912,0.0799692869186401,0.5556372404098511,0.1843750551342965,0.5556372404098511
42,0.2665436267852783,0.4214503765106201,0.1110111251473426,0.0906087160110473,0.2665436267852783,0.4214503765106201,-0.1549067497253418,0.020402409136295305,-0.1549067497253418
43,0.4334273338317871,0.6234958171844482,0.0723408386111259,0.1109570264816284,0.4334273338317871,0.6234958171844482,-0.19006848335266113,-0.0386161878705025,-0.19006848335266113
44,0.6764154434204102,0.1027908325195312,0.2814438343048095,0.0845061987638473,0.6764154434204102,0.1027908325195312,0.5736246109008789,0.19693763554096222,0.5736246109008789
45,0.1778446435928344,0.4786605834960937,0.1269327402114868,0.2184301316738128,0.1778446435928344,0.4786605834960937,-0.3008159399032593,-0.09149739146232602,-0.3008159399032593
46,0.533550500869751,0.6629457473754883,0.235639214515686,0.2539179921150207,0.533550500869751,0.6629457473754883,-0.1293952465057373,-0.01827877759933469,-0.1293952465057373
47,0.519721269607544,0.7330834865570068,0.0972668901085853,0.1148784235119819,0.519721269607544,0.7330834865570068,-0.2133622169494629,-0.017611533403396593,-0.2133622169494629
48,0.499500036239624,0.0961928367614746,0.1142112910747528,0.030298288911581,0.499500036239624,0.0961928367614746,0.4033071994781494,0.0839130021631718,0.4033071994781494
49,0.4683742523193359,0.6825647354125977,0.2553600668907165,0.3107549548149109,0.4683742523193359,0.6825647354125977,-0.21419048309326177,-0.05539488792419439,-0.21419048309326177
50,0.2426216602325439,0.0672873258590698,0.0611463077366352,0.0460504293441772,0.2426216602325439,0.0672873258590698,0.1753343343734741,0.015095878392458004,0.1753343343734741
51,0.4044253826141357,0.1977210044860839,0.1399064064025879,0.0786882117390632,0.4044253826141357,0.1977210044860839,0.20670437812805179,0.0612181946635247,0.20670437812805179
52,0.7016592025756836,0.6787967681884766,0.2530582547187805,0.2702770829200744,0.7016592025756836,0.6787967681884766,0.02286243438720703,-0.01721882820129389,0.02286243438720703
53,0.3501296043395996,0.0429657697677612,0.1711553931236267,0.0307262185961008,0.3501296043395996,0.0429657697677612,0.3071638345718384,0.1404291745275259,0.3071638345718384
54,0.4362144470214844,0.1988487243652343,0.1365096867084503,0.0724778100848198,0.4362144470214844,0.1988487243652343,0.23736572265625008,0.0640318766236305,0.23736572265625008
55,0.694496750831604,0.2242809534072876,0.1238133832812309,0.1075354442000389,0.694496750831604,0.2242809534072876,0.4702157974243164,0.016277939081192003,0.4702157974243164
56,0.2892065048217773,0.1537688970565796,0.2026005238294601,0.0829605609178543,0.2892065048217773,0.1537688970565796,0.1354376077651977,0.1196399629116058,0.1354376077651977
57,0.3122462034225464,0.0550984144210815,0.0777501985430717,0.0204559210687875,0.3122462034225464,0.0550984144210815,0.2571477890014649,0.05729427747428421,0.2571477890014649
58,0.4149512052536011,0.5973070859909058,0.2081268727779388,0.2470034062862396,0.4149512052536011,0.5973070859909058,-0.1823558807373047,-0.03887653350830081,-0.1823558807373047
59,0.1762683391571045,0.4150961637496948,0.1148266196250915,0.2458258122205734,0.1762683391571045,0.4150961637496948,-0.23882782459259033,-0.1309991925954819,-0.23882782459259033
