row_idx,kl_baseline,kl_ft,wd_baseline,wd_ft,loss_baseline,loss_ft,kl_delta_base_minus_ft,wd_delta_base_minus_ft,loss_delta_base_minus_ft
0,1.8880527019500728,0.3072433471679687,0.2812812030315399,0.1468640714883804,1.8880527019500728,0.3072433471679687,1.580809354782104,0.1344171315431595,1.580809354782104
1,1.699030518531799,1.127003788948059,0.2600458562374115,0.1850657165050506,1.699030518531799,1.127003788948059,0.57202672958374,0.0749801397323609,0.57202672958374
2,1.5329713821411133,1.1253173351287842,0.5093585252761841,0.3392132222652435,1.5329713821411133,1.1253173351287842,0.4076540470123291,0.1701453030109406,0.4076540470123291
3,1.5436010360717771,1.0641459226608276,0.282643973827362,0.3058962225914001,1.5436010360717771,1.0641459226608276,0.4794551134109495,-0.023252248764038086,0.4794551134109495
4,1.0221868753433228,0.5599015951156616,0.0808427184820175,0.1414942741394043,1.0221868753433228,0.5599015951156616,0.46228528022766113,-0.060651555657386794,0.46228528022766113
5,2.089303731918335,1.0042459964752195,0.249220609664917,0.1531027555465698,2.089303731918335,1.0042459964752195,1.0850577354431155,0.0961178541183472,1.0850577354431155
6,0.550683856010437,0.1138514280319213,0.2475769966840744,0.0909683629870414,0.550683856010437,0.1138514280319213,0.43683242797851574,0.15660863369703298,0.43683242797851574
7,1.2113114595413208,0.7115894556045532,0.20769003033638,0.1961170732975006,1.2113114595413208,0.7115894556045532,0.4997220039367676,0.011572957038879395,0.4997220039367676
8,1.3835843801498413,0.7169104814529419,0.2256034165620803,0.1740963160991668,1.3835843801498413,0.7169104814529419,0.6666738986968994,0.05150710046291351,0.6666738986968994
9,1.647550106048584,0.1625382900238037,0.309747040271759,0.1067881435155868,1.647550106048584,0.1625382900238037,1.4850118160247803,0.20295889675617218,1.4850118160247803
10,0.5400471687316895,0.1726350784301757,0.1751185059547424,0.1291624009609222,0.5400471687316895,0.1726350784301757,0.3674120903015138,0.04595610499382019,0.3674120903015138
11,0.923680543899536,0.1872594356536865,0.219308003783226,0.0480151362717151,0.923680543899536,0.1872594356536865,0.7364211082458495,0.1712928675115109,0.7364211082458495
12,1.1900795698165894,0.8486497402191162,0.2115671187639236,0.2705512940883636,1.1900795698165894,0.8486497402191162,0.34142982959747314,-0.05898417532444,0.34142982959747314
13,2.3344998359680176,1.2107491493225098,0.2367632240056991,0.1322650015354156,2.3344998359680176,1.2107491493225098,1.1237506866455078,0.10449822247028351,1.1237506866455078
14,0.7332184314727783,0.4499843120574951,0.0878548026084899,0.1156582757830619,0.7332184314727783,0.4499843120574951,0.2832341194152832,-0.027803473174572005,0.2832341194152832
15,0.7120543718338013,0.1741689443588256,0.147705465555191,0.1075998693704605,0.7120543718338013,0.1741689443588256,0.5378854274749757,0.040105596184730516,0.5378854274749757
16,1.905349969863892,0.3226886987686157,0.2369453907012939,0.1497172564268112,1.905349969863892,0.3226886987686157,1.5826612710952763,0.0872281342744827,1.5826612710952763
17,0.678378701210022,0.5506221055984497,0.0732805058360099,0.183112695813179,0.678378701210022,0.5506221055984497,0.12775659561157227,-0.10983218997716909,0.12775659561157227
