row_idx,kl_baseline,kl_ft,wd_baseline,wd_ft,loss_baseline,loss_ft,kl_delta_base_minus_ft,wd_delta_base_minus_ft,loss_delta_base_minus_ft
0,0.4542648792266845,0.4952938556671142,0.0839395523071289,0.0995472893118858,0.4542648792266845,0.4952938556671142,-0.04102897644042969,-0.0156077370047569,-0.04102897644042969
1,0.2785319089889526,0.1213190555572509,0.0612500645220279,0.0335703641176223,0.2785319089889526,0.1213190555572509,0.1572128534317017,0.0276797004044056,0.1572128534317017
2,0.1981520652770996,0.154951274394989,0.1310620754957199,0.1052370518445968,0.1981520652770996,0.154951274394989,0.043200790882110596,0.025825023651123116,0.043200790882110596
3,0.9869470596313475,0.2600802183151245,0.2478175163269043,0.1166893988847732,0.9869470596313475,0.2600802183151245,0.726866841316223,0.1311281174421311,0.726866841316223
4,0.4350601434707641,0.1465120315551757,0.1279630362987518,0.1359082013368606,0.4350601434707641,0.1465120315551757,0.2885481119155884,-0.007945165038108798,0.2885481119155884
5,0.6596077680587769,0.2073220014572143,0.1363383084535598,0.046446967869997,0.6596077680587769,0.2073220014572143,0.45228576660156256,0.0898913405835628,0.45228576660156256
6,0.2896405458450317,0.3208159208297729,0.1890315264463424,0.1791120171546936,0.2896405458450317,0.3208159208297729,-0.03117537498474121,0.00991950929164881,-0.03117537498474121
7,0.6266509294509888,0.3944448232650757,0.1298707425594329,0.1516090780496597,0.6266509294509888,0.3944448232650757,0.23220610618591309,-0.0217383354902268,0.23220610618591309
8,0.6427813768386841,0.3020025491714477,0.0720146149396896,0.0398886762559413,0.6427813768386841,0.3020025491714477,0.3407788276672364,0.032125938683748294,0.3407788276672364
9,0.3548336029052734,0.3080811500549316,0.2049767076969146,0.1691738218069076,0.3548336029052734,0.3080811500549316,0.0467524528503418,0.03580288589000699,0.0467524528503418
10,0.1397554874420166,0.1777641773223877,0.0753821432590484,0.1194135993719101,0.1397554874420166,0.1777641773223877,-0.038008689880371094,-0.04403145611286169,-0.038008689880371094
11,0.4644069671630859,0.1296679973602295,0.2545550763607025,0.0741645023226738,0.4644069671630859,0.1296679973602295,0.3347389698028564,0.18039057403802872,0.3347389698028564
12,0.547560453414917,0.0916132926940918,0.1964015662670135,0.0659101828932762,0.547560453414917,0.0916132926940918,0.4559471607208252,0.13049138337373728,0.4559471607208252
13,0.4928109645843506,0.2007540464401245,0.0835355296730995,0.083017848432064,0.4928109645843506,0.2007540464401245,0.2920569181442261,0.0005176812410355031,0.2920569181442261
14,0.2694287300109863,0.1414697170257568,0.0656140968203544,0.0856697410345077,0.2694287300109863,0.1414697170257568,0.12795901298522946,-0.02005564421415329,0.12795901298522946
15,0.1596139669418335,0.1099129915237426,0.0702353566884994,0.0929125547409057,0.1596139669418335,0.1099129915237426,0.04970097541809089,-0.02267719805240631,0.04970097541809089
16,0.4818992614746094,0.3419700860977173,0.160470500588417,0.2848596572875976,0.4818992614746094,0.3419700860977173,0.1399291753768921,-0.1243891566991806,0.1399291753768921
17,0.3524695634841919,0.1231508255004882,0.1164904460310936,0.0451203286647796,0.3524695634841919,0.1231508255004882,0.2293187379837037,0.07137011736631399,0.2293187379837037
18,1.5346214771270752,1.0386810302734375,0.2145174741744995,0.1501453816890716,1.5346214771270752,1.0386810302734375,0.4959404468536377,0.06437209248542791,0.4959404468536377
19,0.2914589643478393,0.6010440587997437,0.2007383853197097,0.2572329938411712,0.2914589643478393,0.6010440587997437,-0.30958509445190435,-0.056494608521461515,-0.30958509445190435
20,0.6143975257873535,0.7368669509887695,0.0870651006698608,0.1092894598841667,0.6143975257873535,0.7368669509887695,-0.12246942520141602,-0.022224359214305905,-0.12246942520141602
21,0.7177258729934692,0.2057259082794189,0.2724960744380951,0.1100637167692184,0.7177258729934692,0.2057259082794189,0.5119999647140503,0.1624323576688767,0.5119999647140503
22,0.411392331123352,0.728182315826416,0.2704876065254211,0.3149993419647217,0.411392331123352,0.728182315826416,-0.316789984703064,-0.04451173543930059,-0.316789984703064
23,0.5092341899871826,0.1572728157043457,0.0870885998010635,0.0320817269384861,0.5092341899871826,0.1572728157043457,0.3519613742828369,0.0550068728625774,0.3519613742828369
24,0.1169424057006836,0.0717902183532714,0.0362561307847499,0.0638188570737838,0.1169424057006836,0.0717902183532714,0.04515218734741219,-0.027562726289033904,0.04515218734741219
25,0.5405627489089966,0.244085431098938,0.1783674210309982,0.24173404276371,0.5405627489089966,0.244085431098938,0.2964773178100586,-0.06336662173271179,0.2964773178100586
26,0.6008206605911255,0.1214960813522338,0.2704210877418518,0.1160401850938797,0.6008206605911255,0.1214960813522338,0.4793245792388917,0.1543809026479721,0.4793245792388917
27,0.4564255475997925,0.1515009403228759,0.0804135501384735,0.0228101592510938,0.4564255475997925,0.1515009403228759,0.3049246072769166,0.0576033908873797,0.3049246072769166
28,0.3175062537193298,0.243434727191925,0.1667931228876114,0.1346182525157928,0.3175062537193298,0.243434727191925,0.07407152652740479,0.0321748703718186,0.07407152652740479
29,0.5452460050582886,0.2047007083892822,0.0963205322623252,0.0507245510816574,0.5452460050582886,0.2047007083892822,0.34054529666900635,0.0455959811806678,0.34054529666900635
30,0.7918418645858765,0.284531831741333,0.2101280242204666,0.1067608296871185,0.7918418645858765,0.284531831741333,0.5073100328445435,0.10336719453334811,0.5073100328445435
31,0.529761552810669,0.0983326435089111,0.2669439613819122,0.0362980440258979,0.529761552810669,0.0983326435089111,0.4314289093017578,0.23064591735601428,0.4314289093017578
32,0.5494104623794556,0.3051809072494507,0.1074993908405304,0.0863901823759079,0.5494104623794556,0.3051809072494507,0.24422955513000488,0.021109208464622498,0.24422955513000488
33,0.6647239923477173,0.3459912538528442,0.1912611722946167,0.1195548996329307,0.6647239923477173,0.3459912538528442,0.3187327384948731,0.071706272661686,0.3187327384948731
34,0.2943645715713501,0.5883636474609375,0.2014341801404953,0.2573305666446686,0.2943645715713501,0.5883636474609375,-0.2939990758895874,-0.05589638650417328,-0.2939990758895874
35,0.7435505390167236,0.194582462310791,0.1850947141647339,0.0767772197723388,0.7435505390167236,0.194582462310791,0.5489680767059326,0.10831749439239509,0.5489680767059326
36,0.3670707941055298,0.5578135251998901,0.2400157004594802,0.2637990415096283,0.3670707941055298,0.5578135251998901,-0.19074273109436035,-0.023783341050148094,-0.19074273109436035
37,0.0995221138000488,0.2752660512924194,0.0810437723994255,0.1621466875076294,0.0995221138000488,0.2752660512924194,-0.17574393749237058,-0.08110291510820389,-0.17574393749237058
38,0.6098179817199707,0.1531451940536499,0.1238015741109848,0.0422875918447971,0.6098179817199707,0.1531451940536499,0.4566727876663208,0.0815139822661877,0.4566727876663208
39,0.1970397233963012,0.2844418287277221,0.1244005337357521,0.1683481037616729,0.1970397233963012,0.2844418287277221,-0.08740210533142093,-0.043947570025920785,-0.08740210533142093
40,0.3198540210723877,0.0345962047576904,0.2072031944990158,0.0336053445935249,0.3198540210723877,0.0345962047576904,0.28525781631469727,0.1735978499054909,0.28525781631469727
41,0.6711575984954834,0.139042854309082,0.2270555943250656,0.0891856700181961,0.6711575984954834,0.139042854309082,0.5321147441864014,0.1378699243068695,0.5321147441864014
42,0.298886775970459,0.3402392864227295,0.0677370354533195,0.0819043964147567,0.298886775970459,0.3402392864227295,-0.04135251045227051,-0.014167360961437211,-0.04135251045227051
43,0.3897507190704345,0.4291644096374511,0.0887916460633277,0.082678847014904,0.3897507190704345,0.4291644096374511,-0.0394136905670166,0.006112799048423712,-0.0394136905670166
44,0.2652459144592285,0.0980260372161865,0.1865842342376709,0.0598570927977561,0.2652459144592285,0.0980260372161865,0.16721987724304202,0.12672714143991481,0.16721987724304202
45,0.2544598579406738,0.5943166017532349,0.1777331382036209,0.2477014511823654,0.2544598579406738,0.5943166017532349,-0.3398567438125611,-0.06996831297874448,-0.3398567438125611
