kl,wd,loss_used
0.49529385566711426,0.09954728931188583,0.49529385566711426
0.12131905555725098,0.033570364117622375,0.12131905555725098
0.154951274394989,0.10523705184459686,0.154951274394989
0.2600802183151245,0.11668939888477325,0.2600802183151245
0.14651203155517578,0.13590820133686066,0.14651203155517578
0.20732200145721436,0.046446967869997025,0.20732200145721436
0.32081592082977295,0.1791120171546936,0.32081592082977295
0.3944448232650757,0.15160907804965973,0.3944448232650757
0.30200254917144775,0.03988867625594139,0.30200254917144775
0.30808115005493164,0.16917382180690765,0.30808115005493164
0.1777641773223877,0.1194135993719101,0.1777641773223877
0.1296679973602295,0.0741645023226738,0.1296679973602295
0.0916132926940918,0.06591018289327621,0.0916132926940918
0.2007540464401245,0.08301784843206406,0.2007540464401245
0.14146971702575684,0.08566974103450775,0.14146971702575684
0.10991299152374268,0.09291255474090576,0.10991299152374268
0.3419700860977173,0.28485965728759766,0.3419700860977173
0.12315082550048828,0.04512032866477966,0.12315082550048828
1.0386810302734375,0.15014538168907166,1.0386810302734375
0.6010440587997437,0.25723299384117126,0.6010440587997437
0.7368669509887695,0.10928945988416672,0.7368669509887695
0.20572590827941895,0.11006371676921844,0.20572590827941895
0.728182315826416,0.3149993419647217,0.728182315826416
0.1572728157043457,0.0320817269384861,0.1572728157043457
0.07179021835327148,0.06381885707378387,0.07179021835327148
0.244085431098938,0.24173404276371002,0.244085431098938
0.12149608135223389,0.1160401850938797,0.12149608135223389
0.15150094032287598,0.022810159251093864,0.15150094032287598
0.24343472719192505,0.13461825251579285,0.24343472719192505
0.20470070838928223,0.05072455108165741,0.20470070838928223
0.284531831741333,0.10676082968711853,0.284531831741333
0.09833264350891113,0.03629804402589798,0.09833264350891113
0.3051809072494507,0.0863901823759079,0.3051809072494507
0.34599125385284424,0.11955489963293076,0.34599125385284424
0.5883636474609375,0.2573305666446686,0.5883636474609375
0.19458246231079102,0.07677721977233887,0.19458246231079102
0.5578135251998901,0.2637990415096283,0.5578135251998901
0.27526605129241943,0.1621466875076294,0.27526605129241943
0.1531451940536499,0.042287591844797134,0.1531451940536499
0.28444182872772217,0.16834810376167297,0.28444182872772217
0.03459620475769043,0.03360534459352493,0.03459620475769043
0.13904285430908203,0.0891856700181961,0.13904285430908203
0.3402392864227295,0.08190439641475677,0.3402392864227295
0.42916440963745117,0.08267884701490402,0.42916440963745117
0.09802603721618652,0.059857092797756195,0.09802603721618652
0.5943166017532349,0.24770145118236542,0.5943166017532349
0.3748440742492676,0.1843530833721161,0.3748440742492676
0.7795684337615967,0.12890878319740295,0.7795684337615967
0.10396945476531982,0.03450329601764679,0.10396945476531982
0.35633349418640137,0.1891230344772339,0.35633349418640137
0.08231770992279053,0.03790522366762161,0.08231770992279053
0.4136021137237549,0.1425110250711441,0.4136021137237549
0.45033740997314453,0.23785817623138428,0.45033740997314453
0.05710017681121826,0.03842753916978836,0.05710017681121826
0.19852793216705322,0.06751389056444168,0.19852793216705322
0.17992103099822998,0.08229774981737137,0.17992103099822998
0.2648078203201294,0.14311107993125916,0.2648078203201294
0.056577205657958984,0.02383958362042904,0.056577205657958984
0.4219369888305664,0.2051433026790619,0.4219369888305664
0.5679117441177368,0.2431429922580719,0.5679117441177368
0.11328339576721191,0.05408491939306259,0.11328339576721191
0.3779335021972656,0.22469893097877502,0.3779335021972656
0.1018061637878418,0.08215297758579254,0.1018061637878418
0.45668625831604004,0.2646917402744293,0.45668625831604004
0.011638522148132324,0.014748972840607166,0.011638522148132324
0.05163455009460449,0.048715315759181976,0.05163455009460449
0.26074957847595215,0.15248550474643707,0.26074957847595215
0.24406182765960693,0.20737068355083466,0.24406182765960693
0.3836327791213989,0.06554332375526428,0.3836327791213989
0.08131444454193115,0.019902460277080536,0.08131444454193115
0.37520062923431396,0.047662846744060516,0.37520062923431396
0.5206334590911865,0.227829247713089,0.5206334590911865
0.11687970161437988,0.03517057001590729,0.11687970161437988
0.2487720251083374,0.22321298718452454,0.2487720251083374
0.16257429122924805,0.14138385653495789,0.16257429122924805
0.3973487615585327,0.19392061233520508,0.3973487615585327
0.38069844245910645,0.20678047835826874,0.38069844245910645
0.21408164501190186,0.15846724808216095,0.21408164501190186
0.28679776191711426,0.13064804673194885,0.28679776191711426
0.3687499761581421,0.1604234129190445,0.3687499761581421
0.34106743335723877,0.19514307379722595,0.34106743335723877
0.13204681873321533,0.10138324648141861,0.13204681873321533
0.5307235717773438,0.248074010014534,0.5307235717773438
0.4189317226409912,0.21531732380390167,0.4189317226409912
0.13498079776763916,0.02927762269973755,0.13498079776763916
0.2078871726989746,0.10917668044567108,0.2078871726989746
0.18141663074493408,0.12321822345256805,0.18141663074493408
0.09352779388427734,0.10074067115783691,0.09352779388427734
0.2723335027694702,0.21598049998283386,0.2723335027694702
0.21656906604766846,0.1330568641424179,0.21656906604766846
1.249743938446045,0.20334367454051971,1.249743938446045
0.2167598009109497,0.08928334712982178,0.2167598009109497
0.42590975761413574,0.21933002769947052,0.42590975761413574
0.7441103458404541,0.3180200457572937,0.7441103458404541
0.20738518238067627,0.13007330894470215,0.20738518238067627
0.1495664119720459,0.09986814856529236,0.1495664119720459
0.4240899085998535,0.32347992062568665,0.4240899085998535
0.14860594272613525,0.04122239351272583,0.14860594272613525
0.5467523336410522,0.23009583353996277,0.5467523336410522
0.16929948329925537,0.03710569441318512,0.16929948329925537
0.7334738969802856,0.30426210165023804,0.7334738969802856
0.04600691795349121,0.03560498356819153,0.04600691795349121
1.1531105041503906,0.21962249279022217,1.1531105041503906
0.02017509937286377,0.01642801985144615,0.02017509937286377
1.3243778944015503,0.1983899623155594,1.3243778944015503
0.39844226837158203,0.18811950087547302,0.39844226837158203
0.4874420166015625,0.10328198969364166,0.4874420166015625
0.13799095153808594,0.026560455560684204,0.13799095153808594
0.10088169574737549,0.03925097733736038,0.10088169574737549
0.3381150960922241,0.1803959459066391,0.3381150960922241
0.29824984073638916,0.1385711133480072,0.29824984073638916
0.21029341220855713,0.10182992368936539,0.21029341220855713
0.440948486328125,0.2320549041032791,0.440948486328125
0.6833264827728271,0.11281957477331161,0.6833264827728271
0.11206364631652832,0.045070674270391464,0.11206364631652832
0.5545998811721802,0.09584749490022659,0.5545998811721802
0.6785449981689453,0.09583387523889542,0.6785449981689453
0.38738489151000977,0.05999148637056351,0.38738489151000977
0.3310120105743408,0.2346498668193817,0.3310120105743408
0.19842028617858887,0.10914292186498642,0.19842028617858887
0.37603288888931274,0.13994935154914856,0.37603288888931274
0.19149982929229736,0.1589357703924179,0.19149982929229736
0.5512915849685669,0.08752834051847458,0.5512915849685669
0.47434961795806885,0.25047141313552856,0.47434961795806885
0.6315081119537354,0.1207251250743866,0.6315081119537354
0.19927763938903809,0.1338416039943695,0.19927763938903809
0.282218337059021,0.16459712386131287,0.282218337059021
0.07529652118682861,0.0116276228800416,0.07529652118682861
0.035819292068481445,0.0317072793841362,0.035819292068481445
0.5372331142425537,0.298383891582489,0.5372331142425537
0.40887463092803955,0.1980724185705185,0.40887463092803955
0.18814706802368164,0.12418831139802933,0.18814706802368164
0.2638087272644043,0.1539890021085739,0.2638087272644043
0.1553497314453125,0.12203352898359299,0.1553497314453125
0.4555164575576782,0.14743198454380035,0.4555164575576782
0.27527308464050293,0.18238094449043274,0.27527308464050293
0.2659432888031006,0.15626642107963562,0.2659432888031006
0.23985588550567627,0.15196195244789124,0.23985588550567627
0.3541926145553589,0.10939254611730576,0.3541926145553589
0.27718305587768555,0.18434761464595795,0.27718305587768555
0.6492637395858765,0.05375638231635094,0.6492637395858765
0.058449506759643555,0.04875648021697998,0.058449506759643555
0.17523890733718872,0.11379086971282959,0.17523890733718872
1.1267261505126953,0.1900467723608017,1.1267261505126953
0.2578085660934448,0.21463163197040558,0.2578085660934448
0.5307002067565918,0.0883696973323822,0.5307002067565918
0.14458978176116943,0.10932399332523346,0.14458978176116943
0.10132598876953125,0.027726028114557266,0.10132598876953125
1.2537239789962769,0.19966910779476166,1.2537239789962769
0.7696595191955566,0.3339882791042328,0.7696595191955566
0.36239612102508545,0.24776551127433777,0.36239612102508545
0.22285056114196777,0.10180989652872086,0.22285056114196777
0.6436909437179565,0.300069659948349,0.6436909437179565
0.3010798692703247,0.18200865387916565,0.3010798692703247
0.25644737482070923,0.13952063024044037,0.25644737482070923
0.22324049472808838,0.054524797946214676,0.22324049472808838
0.35189497470855713,0.20659270882606506,0.35189497470855713
1.2533544301986694,0.20281581580638885,1.2533544301986694
0.3059377670288086,0.16477754712104797,0.3059377670288086
0.21853303909301758,0.11796469986438751,0.21853303909301758
0.07493448257446289,0.054767757654190063,0.07493448257446289
0.25560784339904785,0.1159166693687439,0.25560784339904785
0.30450212955474854,0.161270871758461,0.30450212955474854
0.4743170738220215,0.10306604951620102,0.4743170738220215
0.297460675239563,0.1826329529285431,0.297460675239563
0.5278267860412598,0.24313731491565704,0.5278267860412598
0.3717755079269409,0.21657529473304749,0.3717755079269409
0.10780858993530273,0.07232140004634857,0.10780858993530273
0.49271881580352783,0.19745196402072906,0.49271881580352783
0.2498103380203247,0.1100231409072876,0.2498103380203247
0.1852583885192871,0.13046810030937195,0.1852583885192871
0.046213626861572266,0.037479981780052185,0.046213626861572266
1.105001449584961,0.21104423701763153,1.105001449584961
0.22257959842681885,0.13009414076805115,0.22257959842681885
0.05933332443237305,0.023301200941205025,0.05933332443237305
0.21653318405151367,0.12760935723781586,0.21653318405151367
0.20576155185699463,0.11131730675697327,0.20576155185699463
0.28832554817199707,0.036837175488471985,0.28832554817199707
0.2617419958114624,0.0801444724202156,0.2617419958114624
0.18548226356506348,0.11861934512853622,0.18548226356506348
0.20549237728118896,0.18876433372497559,0.20549237728118896
0.15449506044387817,0.09915231168270111,0.15449506044387817
0.051415443420410156,0.046906910836696625,0.051415443420410156
0.16160964965820312,0.1191345602273941,0.16160964965820312
0.17346692085266113,0.03230421990156174,0.17346692085266113
0.21139311790466309,0.07264535874128342,0.21139311790466309
0.5635836124420166,0.2779185175895691,0.5635836124420166
0.5937845706939697,0.2804168164730072,0.5937845706939697
0.1160808801651001,0.06207185983657837,0.1160808801651001
0.6899001598358154,0.28778085112571716,0.6899001598358154
1.13632333278656,0.1913365125656128,1.13632333278656
0.2879587411880493,0.18677204847335815,0.2879587411880493
0.5135798454284668,0.09363753348588943,0.5135798454284668
0.19899272918701172,0.10119704902172089,0.19899272918701172
0.5643601417541504,0.07389248162508011,0.5643601417541504
0.24968338012695312,0.11170244216918945,0.24968338012695312
1.133232593536377,0.19257907569408417,1.133232593536377
0.24417662620544434,0.11636079847812653,0.24417662620544434
0.4786257743835449,0.09801877290010452,0.4786257743835449
0.33107876777648926,0.19404491782188416,0.33107876777648926
0.32479429244995117,0.16653713583946228,0.32479429244995117
0.30467820167541504,0.1651221364736557,0.30467820167541504
0.2811005115509033,0.12914679944515228,0.2811005115509033
0.14219534397125244,0.10520295798778534,0.14219534397125244
0.1752740740776062,0.1157224178314209,0.1752740740776062
0.04327702522277832,0.04405834153294563,0.04327702522277832
0.3701819181442261,0.2751159071922302,0.3701819181442261
0.18832027912139893,0.058274392038583755,0.18832027912139893
0.22939717769622803,0.09377552568912506,0.22939717769622803
0.5901153087615967,0.24157491326332092,0.5901153087615967
0.17768323421478271,0.027765151113271713,0.17768323421478271
0.28801536560058594,0.2076566517353058,0.28801536560058594
0.23322856426239014,0.05675646290183067,0.23322856426239014
0.22903871536254883,0.1318431943655014,0.22903871536254883
0.34892797470092773,0.10973084717988968,0.34892797470092773
0.365497350692749,0.18121857941150665,0.365497350692749
0.3566321134567261,0.19274835288524628,0.3566321134567261
0.1431044340133667,0.03972320258617401,0.1431044340133667
0.2395566701889038,0.03200216591358185,0.2395566701889038
0.33439528942108154,0.03572459518909454,0.33439528942108154
0.1531064510345459,0.043263282626867294,0.1531064510345459
0.6693531274795532,0.2827792763710022,0.6693531274795532
0.07677793502807617,0.08586981147527695,0.07677793502807617
0.18655061721801758,0.1054592877626419,0.18655061721801758
0.3284623622894287,0.18468573689460754,0.3284623622894287
0.12938058376312256,0.07531071454286575,0.12938058376312256
0.13778281211853027,0.13669411838054657,0.13778281211853027
0.15177154541015625,0.10229331254959106,0.15177154541015625
1.126316785812378,0.17146503925323486,1.126316785812378
0.1567833423614502,0.07775288075208664,0.1567833423614502
1.2132641077041626,0.16189725697040558,1.2132641077041626
0.4552633762359619,0.21223393082618713,0.4552633762359619
0.06033802032470703,0.056721143424510956,0.06033802032470703
0.1805044412612915,0.1500484198331833,0.1805044412612915
0.21506929397583008,0.040656816214323044,0.21506929397583008
0.7731623649597168,0.10696336627006531,0.7731623649597168
0.20668482780456543,0.10683242976665497,0.20668482780456543
0.3461291790008545,0.18366023898124695,0.3461291790008545
0.053400397300720215,0.04807286337018013,0.053400397300720215
0.45765221118927,0.23376493155956268,0.45765221118927
0.15915727615356445,0.05515871196985245,0.15915727615356445
0.4266420602798462,0.04045438393950462,0.4266420602798462
0.4247928857803345,0.2557375431060791,0.4247928857803345
0.2030956745147705,0.12017685920000076,0.2030956745147705
0.5561249256134033,0.2271147072315216,0.5561249256134033
0.392458438873291,0.1936451643705368,0.392458438873291
0.11007046699523926,0.10654431581497192,0.11007046699523926
0.19138216972351074,0.0629349797964096,0.19138216972351074
0.4676400423049927,0.23170098662376404,0.4676400423049927
0.16852188110351562,0.11811625957489014,0.16852188110351562
0.5021849870681763,0.24070915579795837,0.5021849870681763
0.037671685218811035,0.035767097026109695,0.037671685218811035
0.18067944049835205,0.05110958218574524,0.18067944049835205
0.22177445888519287,0.09189587831497192,0.22177445888519287
0.28520429134368896,0.24798130989074707,0.28520429134368896
0.20553278923034668,0.048337846994400024,0.20553278923034668
0.12232780456542969,0.08846358954906464,0.12232780456542969
0.15707433223724365,0.0870581567287445,0.15707433223724365
0.990962028503418,0.18739478290081024,0.990962028503418
0.2641192674636841,0.2020357996225357,0.2641192674636841
0.2824333906173706,0.1842212975025177,0.2824333906173706
0.5514625310897827,0.25791049003601074,0.5514625310897827
0.07764434814453125,0.0849725604057312,0.07764434814453125
0.606640100479126,0.27371567487716675,0.606640100479126
0.2964285612106323,0.15959201753139496,0.2964285612106323
0.11888670921325684,0.08149907737970352,0.11888670921325684
0.19182968139648438,0.08816275745630264,0.19182968139648438
0.09011507034301758,0.06255857646465302,0.09011507034301758
0.808469295501709,0.32399967312812805,0.808469295501709
0.46857666969299316,0.16979297995567322,0.46857666969299316
0.05966627597808838,0.037504177540540695,0.05966627597808838
0.5359610319137573,0.24085430800914764,0.5359610319137573
0.5993297100067139,0.23599477112293243,0.5993297100067139
0.05015873908996582,0.04541514068841934,0.05015873908996582
0.03390693664550781,0.03901440650224686,0.03390693664550781
0.184348464012146,0.11923034489154816,0.184348464012146
0.4746047258377075,0.22403499484062195,0.4746047258377075
0.511324405670166,0.3219508230686188,0.511324405670166
0.3311532735824585,0.1721021682024002,0.3311532735824585
0.14392781257629395,0.09833517670631409,0.14392781257629395
0.5181913375854492,0.19449469447135925,0.5181913375854492
0.1330161690711975,0.09545809030532837,0.1330161690711975
0.5824543237686157,0.2136901319026947,0.5824543237686157
0.20917892456054688,0.14169594645500183,0.20917892456054688
0.30084550380706787,0.13061204552650452,0.30084550380706787
0.150063157081604,0.07790777832269669,0.150063157081604
0.17869102954864502,0.024483926594257355,0.17869102954864502
